,id_barrio,Distritos,Barrios,Locales,Locscenso,Censo-2021,Censo-2019,D-Censo,censo,Abstención-2021,Abstención-2019,D-Abs,Blanco-2021,Blanco-2019,D-Blc,Nulos-2021,Nulos-2019,D-Nulos,PP-2021,PP-2019,D-PP,VarPP,VarPPcenso,VarPPlocales,anterior,PSOE-2021,PSOE-2019,D-PSOE,VarPSOE,VarPSOEcenso,VOX-2021,VOX-2019,D-VOX,VarVOX,VarVOXcenso,MAS MADRID-2021,MAS MADRID-2019,D-MÁS MADRID,VarMM,VarMMcenso,PODEMOS-IU-2021,PODEMOS-IU-2019,D-PODEMOS-IU,VarPiU,VarPiUcenso,Cs-2021,Cs-2019,D-Cs,VarCs,VarCscenso
20,42, Salamanca, Goya,374,0.017048821625564117,21937,22536,-599,21,4494,6424,-1930,61,71,-10,53,43,10,10800,5808,4992,85.9504132231405,22.756074212517664,13.3475935828877,PP,1752,2732,-980,-35.87115666178624,-4.467338286912522,1757,1871,-114,-6.09299839657937,-0.5196699639877832,1643,1432,211,14.73463687150838,0.9618452842230023,566,357,209,58.543417366946784,0.9527282673109359,716,3669,-2953,-80.48514581629873,-13.461275470665997
21,43, Salamanca, Fuente del Berro,147,0.009146910584282247,16071,16363,-292,16,3330,4393,-1063,79,39,40,49,33,16,6565,3308,3257,98.45828295042321,20.266318212930123,22.156462585034014,PP,1753,2688,-935,-34.78422619047619,-5.817932922655715,970,1041,-71,-6.820365033621517,-0.44178955883267995,1968,1665,303,18.1981981981982,1.8853836102296062,656,400,256,64.0,1.592931367058677,578,2687,-2109,-78.48902121324898,-13.123016613776366
22,44, Salamanca, Guindalera,259,0.008030260750937898,32253,32547,-294,32,6197,8181,-1984,106,104,2,106,65,41,14372,7638,6734,88.16444095312909,20.878677952438533,26.0,PP,2913,4706,-1793,-38.10029749256268,-5.55917279012805,2492,2530,-38,-1.5019762845849802,-0.11781849750410814,3673,2912,761,26.13324175824176,2.3594704368585866,1085,719,366,50.90403337969403,1.1347781601711469,1158,5414,-4256,-78.61100849649057,-13.195671720460112
23,45, Salamanca, Lista,244,0.015802085357165988,15441,15857,-416,15,2904,4258,-1354,43,29,14,31,29,2,7946,4461,3485,78.12149742210266,22.569781749886666,14.282786885245901,PP,1135,1819,-684,-37.60307861462342,-4.42976491159899,1375,1429,-54,-3.778866340097971,-0.3497182824946571,1151,1020,131,12.84313725490196,0.8483906482740755,383,210,173,82.38095238095238,1.120393756881031,422,2539,-2117,-83.37928318235525,-13.710251926688684
24,46, Salamanca, Castellana,249,0.020691374439089246,12034,12485,-451,12,2110,3128,-1018,28,36,-8,21,11,10,7219,4803,2416,50.30189464917759,20.076450058168522,9.70281124497992,PP,473,800,-327,-40.875,-2.717300980555094,1342,1418,-76,-5.359661495063469,-0.6315439587834469,414,382,32,8.37696335078534,0.2659132458035566,118,97,21,21.649484536082475,0.174505567558584,283,1745,-1462,-83.78223495702005,-12.148911417649993
25,51, Chamartín, El Viso,191,0.014805053871792885,12901,12977,-76,12,1873,2923,-1050,32,42,-10,17,9,8,8125,5049,3076,60.9229550406021,23.84311293698163,16.104712041884817,PP,578,929,-351,-37.78256189451022,-2.7207193240834044,1314,1341,-27,-2.013422818791946,-0.20928610185256957,488,390,98,25.128205128205128,0.759631036353771,127,85,42,49.411764705882355,0.32555615843733043,309,2168,-1859,-85.74723247232473,-14.409735679404697
26,52, Chamartín, Prosperidad,237,0.008334505556337038,28436,28925,-489,28,5191,7311,-2120,150,98,52,82,68,14,12342,6303,6039,95.81151832460732,21.23716415810944,25.481012658227847,PP,3039,4623,-1584,-34.26346528228423,-5.5704037136024755,1895,1989,-94,-4.725992961287079,-0.33056688704459136,3328,2710,618,22.804428044280442,2.1733014488676328,1187,750,437,58.266666666666666,1.5367843578562386,1011,4884,-3873,-79.2997542997543,-13.620059080039388
27,53, Chamartín, Ciudad Jardín,181,0.012867908431679226,14066,14321,-255,14,2869,3817,-948,41,40,1,34,22,12,5679,3013,2666,88.48323929638234,18.953504905445755,14.7292817679558,PP,1492,2325,-833,-35.82795698924731,-5.922081615242428,924,905,19,2.0994475138121547,0.13507749182425707,1762,1482,280,18.89338731443995,1.9906156689890517,674,417,257,61.63069544364509,1.8271008104649509,517,2196,-1679,-76.45719489981785,-11.936584672259348
28,54, Chamartín, Hispanoamérica,285,0.011663597298956415,24435,24703,-268,24,4068,5782,-1714,63,75,-12,50,36,14,13382,7488,5894,78.71260683760684,24.121137712297934,20.680701754385964,PP,1630,2692,-1062,-39.45022288261516,-4.346224677716391,2151,2197,-46,-2.0937642239417387,-0.18825455289543688,1610,1242,368,29.629629629629626,1.506036423163495,510,373,137,36.72922252010724,0.560671168405975,875,4699,-3824,-81.37901681208768,-15.649682832003272
29,55, Chamartín, Nueva España,181,0.010009401094951059,18083,18189,-106,18,2715,4126,-1411,41,55,-14,26,25,1,10694,6060,4634,76.46864686468648,25.626278825416136,25.60220994475138,PP,979,1633,-654,-40.048989589712185,-3.6166565282309353,1717,1738,-21,-1.2082853855005753,-0.11613117292484654,952,755,197,26.092715231788077,1.0894210031521319,277,187,90,48.1283422459893,0.4977050268207709,622,3522,-2900,-82.33957978421351,-16.037161975335952
